date,mkt_index,rf_index
20190513,6573.877641,20.89952106
20190514,6635.606352,20.90140202
20190515,6674.690073,20.90328314
20190516,6736.030475,20.90516444
20190517,6687.463695,20.9070459
20190520,6644.597053,20.90892754
20190521,6704.99644,20.91080934
20190522,6678.779904,20.91269131
20190523,6587.88171,20.91457346
20190524,6603.626747,20.91645577
20190528,6552.712785,20.91833825
20190529,6506.778268,20.9202209
20190530,6516.473368,20.92210372
20190531,6427.784165,20.92398671
20190603,6402.651529,20.92586987
20190604,6552.409548,20.9277532
20190605,6598.866132,20.92963669
20190606,6635.753794,20.93152036
20190607,6705.362851,20.9334042
20190610,6741.504757,20.9352882
20190611,6734.021687,20.93717238
20190612,6721.159705,20.93905673
20190613,6756.71464,20.94094124
20190614,6739.079615,20.94282593
20190617,6749.794751,20.94471078
20190618,6820.600098,20.9465958
20190619,6843.039873,20.948481
20190620,6904.558801,20.95036636
20190621,6890.680638,20.95225189
20190624,6867.872485,20.9541376
20190625,6801.185443,20.95602347
20190626,6797.716839,20.95790951
20190627,6839.114934,20.95979572
20190628,6886.236436,20.9616821
20190701,6938.502971,20.96356866
20190702,6948.84134,20.96545538
20190703,7003.667698,20.96734227
20190705,6997.294361,20.96922933
20190708,6957.33981,20.97111656
20190709,6970.489182,20.97300396
20190710,6998.998483,20.97489153
20190711,7012.92649,20.97677927
20190712,7050.726163,20.97866718
20190715,7048.540438,20.98055526
20190716,7026.619478,20.98244351
20190717,6982.281509,20.98433193
20190718,7007.347899,20.98622052
20190719,6968.737412,20.98810928
20190722,6986.786442,20.98999821
20190723,7032.829365,20.99188731
20190724,7079.878993,20.99377658
20190725,7035.912945,20.99566602
20190726,7094.240663,20.99755563
20190729,7072.177575,20.99944541
20190730,7060.791369,21.00133536
20190731,6984.464214,21.00322548
20190801,6912.314699,21.00469571
20190802,6852.661423,21.00616603
20190805,6642.764404,21.00763647
20190806,6728.921058,21.009107
20190807,6734.102327,21.01057764
20190808,6867.23553,21.01204838
20190809,6814.151799,21.01351922
20190812,6724.681986,21.01499017
20190813,6824.005539,21.01646122
20190814,6623.175056,21.01793237
20190815,6634.235759,21.01940362
20190816,6737.530809,21.02087498
20190819,6814.810288,21.02234644
20190820,6764.176247,21.02381801
20190821,6822.145238,21.02528968
20190822,6815.800643,21.02676145
20190823,6634.977452,21.02823332
20190826,6707.099656,21.0297053
20190827,6676.716495,21.03117738
20190828,6722.585537,21.03264956
20190829,6813.811023,21.03412184
20190830,6816.332133,21.03559423
20190903,6758.325147,21.03748743
20190904,6831.923308,21.03938081
20190905,6929.551492,21.04127435
20190906,6928.789241,21.04316807
20190909,6934.262984,21.04506195
20190910,6946.675315,21.04695601
20190911,7008.431259,21.04885023
20190912,7024.480566,21.05074463
20190913,7024.410322,21.0526392
20190916,7008.886375,21.05453394
20190917,7021.432281,21.05642884
20190918,7018.553494,21.05832392
20190919,7015.675887,21.06021917
20190920,6982.632054,21.06211459
20190923,6981.863964,21.06401018
20190924,6911.975506,21.06590594
20190925,6960.290215,21.06780187
20190926,6932.379451,21.06969798
20190927,6890.022613,21.07159425
20190930,6925.092828,21.07349069
20191001,6834.858868,21.07496584
20191002,6717.09425,21.07644108
20191003,6771.3012,21.07791644
20191004,6865.896278,21.07939189
20191007,6838.226716,21.08086745
20191008,6728.609942,21.08234311
20191009,6790.984156,21.08381887
20191010,6831.526331,21.08529474
20191011,6916.032312,21.08677071
20191014,6904.067576,21.08824678
20191015,6975.662757,21.08972296
20191016,6959.409463,21.09119924
20191017,6985.646437,21.09267563
20191018,6951.905764,21.09415211
20191021,7001.750929,21.0956287
20191022,6978.435098,21.0971054
20191023,6996.369676,21.09858219
20191024,7014.350346,21.1000591
20191025,7050.614538,21.1015361
20191028,7094.821891,21.10301321
20191029,7086.09526,21.10449042
20191030,7105.723744,21.10596773
20191031,7079.219394,21.10744515
20191101,7156.099717,21.1087116
20191104,7185.153482,21.10997812
20191105,7183.429045,21.11124472
20191106,7180.268336,21.11251139
20191107,7207.984172,21.11377814
20191108,7230.761402,21.11504497
20191111,7217.456801,21.11631187
20191112,7229.437779,21.11757885
20191113,7230.594489,21.11884591
20191114,7236.089741,21.12011304
20191115,7290.07097,21.12138024
20191118,7291.966389,21.12264753
20191119,7293.8623,21.12391489
20191120,7270.230186,21.12518232
20191121,7260.488078,21.12644983
20191122,7278.348878,21.12771742
20191125,7345.746389,21.12898508
20191126,7360.144052,21.13025282
20191127,7392.970294,21.13152064
20191129,7362.363397,21.13278853
20191202,7298.826201,21.13426782
20191203,7251.164866,21.13574722
20191204,7295.179437,21.13722672
20191205,7305.173833,21.13870633
20191206,7372.162277,21.14018604
20191209,7348.350193,21.14166585
20191210,7342.985897,21.14314577
20191211,7364.060266,21.14462579
20191212,7430.852293,21.14610591
20191213,7429.143197,21.14758614
20191216,7484.638897,21.14906647
20191217,7492.64746,21.15054691
20191218,7489.425622,21.15202744
20191219,7522.154412,21.15350809
20191220,7558.787304,21.15498883
20191223,7566.875206,21.15646968
20191224,7568.161575,21.15795063
20191226,7605.018522,21.15943169
20191227,7597.945855,21.16091285
20191230,7555.16942,21.16239411
20191231,7576.852756,21.16387548
20200102,7642.468301,21.16514531
20200103,7591.722311,21.16641522
20200106,7619.508015,21.16768521
20200107,7605.48812,21.16895527
20200108,7641.690244,21.17022541
20200109,7691.819732,21.17149562
20200110,7666.129054,21.17276591
20200113,7722.551763,21.17403628
20200114,7718.381586,21.17530672
20200115,7731.194099,21.17657724
20200116,7799.692479,21.17784783
20200117,7821.999599,21.1791185
20200121,7797.43852,21.18038925
20200122,7804.144318,21.18166007
20200123,7810.855882,21.18293097
20200124,7735.559231,21.18420195
20200127,7615.348641,21.185473
20200128,7693.482118,21.18674413
20200129,7686.250244,21.18801533
20200130,7712.84467,21.18928661
20200131,7579.103944,21.19055797
20200203,7643.223163,21.1918294
20200204,7763.68036,21.19310091
20200205,7839.45388,21.1943725
20200206,7861.090773,21.19564416
20200207,7818.326439,21.1969159
20200210,7875.869322,21.19818772
20200211,7898.394308,21.19945961
20200212,7950.997614,21.20073157
20200213,7944.318776,21.20200362
20200214,7956.711914,21.20327574
20200218,7942.071564,21.20454794
20200219,7990.200517,21.20582021
20200220,7962.714227,21.20709256
20200221,7874.009591,21.20836498
20200224,7607.553106,21.20963748
20200225,7372.936169,21.21091006
20200226,7335.039277,21.21218272
20200227,7025.940722,21.21345545
20200228,6971.55994,21.21472826
20200302,7272.452467,21.21600114
20200303,7069.987391,21.2172741
20200304,7355.332082,21.21854714
20200305,7107.163177,21.21982025
20200306,6981.082103,21.22109344
20200309,6438.37278,21.2223667
20200310,6743.937952,21.22364005
20200311,6403.773722,21.22491346
20200312,5787.474539,21.22618696
20200313,6306.379506,21.22746053
20200316,5549.992348,21.22873418
20200317,5876.109898,21.2300079
20200318,5549.750755,21.2312817
20200319,5622.785475,21.23255558
20200320,5389.777245,21.23382953
20200323,5252.661311,21.23510356
20200324,5743.575038,21.23637767
20200325,5811.693838,21.23765185
20200326,6161.906508,21.23892611
20200327,5947.841876,21.24020045
20200330,6136.15055,21.24147486
20200331,6048.158151,21.24274935
20200401,5775.386218,21.24274935
20200402,5896.669329,21.24274935
20200403,5799.963952,21.24274935
20200406,6209.441407,21.24274935
20200407,6202.611021,21.24274935
20200408,6413.499796,21.24274935
20200409,6515.474443,21.24274935
20200413,6455.532078,21.24274935
20200414,6650.489147,21.24274935
20200415,6507.50363,21.24274935
20200416,6547.850153,21.24274935
20200417,6725.951677,21.24274935
20200420,6621.026831,21.24274935
20200421,6417.099204,21.24274935
20200422,6565.334196,21.24274935
20200423,6573.86913,21.24274935
20200424,6668.532846,21.24274935
20200427,6783.898464,21.24274935
20200428,6753.370921,21.24274935
20200429,6950.569352,21.24274935
20200430,6868.552633,21.24274935
20200501,6668.677752,21.24274935
20200504,6704.021744,21.24274935
20200505,6767.709951,21.24274935
20200506,6732.517859,21.24274935
