PERMNO,date,SICCD,TICKER,ACPERM,NWPERM,RET
84398,2018-08-31,6726,SPY,,,0.031920
84398,2018-09-28,6726,SPY,,,0.005968
84398,2018-10-31,6726,SPY,,,-0.069104
84398,2018-11-30,6726,SPY,,,0.018549
84398,2018-12-31,6726,SPY,,,-0.088136
84398,2019-01-31,6726,SPY,,,0.080066
84398,2019-02-28,6726,SPY,,,0.032416
84398,2019-03-29,6726,SPY,,,0.018061
84398,2019-04-30,6726,SPY,,,0.040852
84398,2019-05-31,6726,SPY,,,-0.063771
84398,2019-06-28,6726,SPY,,,0.069610
84398,2019-07-31,6726,SPY,,,0.015119
84398,2019-08-30,6726,SPY,,,-0.016743
84398,2019-09-30,6726,SPY,,,0.019503
84398,2019-10-31,6726,SPY,,,0.022105
84398,2019-11-29,6726,SPY,,,0.036198
84398,2019-12-31,6726,SPY,,,0.029016
84398,2020-01-31,6726,SPY,,,-0.000404
84398,2020-02-28,6726,SPY,,,-0.079166
84398,2020-03-31,6726,SPY,,,-0.125243
84398,2020-04-30,6726,SPY,,,0.126984
84398,2020-05-29,6726,SPY,,,0.047645
84398,2020-06-30,6726,SPY,,,0.017765
84398,2020-07-31,6726,SPY,,,0.058892
84398,2020-08-31,6726,SPY,,,0.069797
84398,2020-09-30,6726,SPY,,,-0.037447
84398,2020-10-30,6726,SPY,,,-0.024934
84398,2020-11-30,6726,SPY,,,0.108777
84398,2020-12-31,6726,SPY,,,0.037010
84398,2021-01-29,6726,SPY,,,-0.010190
84398,2021-02-26,6726,SPY,,,0.027805
84398,2021-03-31,6726,SPY,,,0.045346
84398,2021-04-30,6726,SPY,,,0.052910
84398,2021-05-28,6726,SPY,,,0.006566
84398,2021-06-30,6726,SPY,,,0.022369
84398,2021-07-30,6726,SPY,,,0.024412
84398,2021-08-31,6726,SPY,,,0.029760
84398,2021-09-30,6726,SPY,,,-0.046487
84398,2021-10-29,6726,SPY,,,0.070164
84398,2021-11-30,6726,SPY,,,-0.008035
84398,2021-12-31,6726,SPY,,,0.046177
84398,2022-01-31,6726,SPY,,,-0.052741
